Date : 2024-12-04 09:34:19
Directory : d:\APractce\MALL\mall4v-master
Total : 517 files,  59768 codes, 1723 comments, 1111 blanks, all 62602 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\imagetools\plugin.min.js                                           | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\importcss\plugin.min.js                                            | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\insertdatetime\plugin.min.js                                       | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\legacyoutput\plugin.min.js                                         | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\link\plugin.min.js                                                 | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\lists\plugin.min.js                                                | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\media\plugin.min.js                                                | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\nonbreaking\plugin.min.js                                          | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\noneditable\plugin.min.js                                          | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\pagebreak\plugin.min.js                                            | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\paste\plugin.min.js                                                | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\preview\plugin.min.js                                              | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\print\plugin.min.js                                                | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\quickbars\plugin.min.js                                            | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\save\plugin.min.js                                                 | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\searchreplace\plugin.min.js                                        | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\spellchecker\plugin.min.js                                         | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\tabfocus\plugin.min.js                                             | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\table\plugin.min.js                                                | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\template\plugin.min.js                                             | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\textcolor\plugin.min.js                                            | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\textpattern\plugin.min.js                                          | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\toc\plugin.min.js                                                  | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\visualblocks\plugin.min.js                                         | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\visualchars\plugin.min.js                                          | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\plugins\wordcount\plugin.min.js                                            | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\skins\content\dark\content.min.css                                         | CSS                |          1 |          6 |          1 |          8 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\skins\content\default\content.min.css                                      | CSS                |          1 |          6 |          1 |          8 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\skins\content\document\content.min.css                                     | CSS                |          1 |          6 |          1 |          8 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\skins\content\writer\content.min.css                                       | CSS                |          1 |          6 |          1 |          8 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\skins\ui\oxide-dark\content.inline.min.css                                 | CSS                |          1 |          6 |          1 |          8 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\skins\ui\oxide-dark\content.min.css                                        | CSS                |          1 |          6 |          1 |          8 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\skins\ui\oxide-dark\content.mobile.min.css                                 | CSS                |          1 |          6 |          1 |          8 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\skins\ui\oxide-dark\skin.min.css                                           | CSS                |          1 |          6 |          1 |          8 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\skins\ui\oxide-dark\skin.mobile.min.css                                    | CSS                |          1 |          6 |          1 |          8 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\skins\ui\oxide-dark\skin.shadowdom.min.css                                 | CSS                |          1 |          6 |          1 |          8 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\skins\ui\oxide\content.inline.min.css                                      | CSS                |          2 |          6 |          1 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\skins\ui\oxide\content.min.css                                             | CSS                |          1 |          6 |          1 |          8 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\skins\ui\oxide\content.mobile.min.css                                      | CSS                |          1 |          6 |          1 |          8 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\skins\ui\oxide\skin.min.css                                                | CSS                |          1 |          6 |          1 |          8 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\skins\ui\oxide\skin.mobile.min.css                                         | CSS                |          1 |          6 |          1 |          8 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\skins\ui\oxide\skin.shadowdom.min.css                                      | CSS                |          1 |          6 |          1 |          8 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\themes\mobile\theme.min.js                                                 | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\themes\silver\theme.min.js                                                 | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\tinymce.d.ts                                                               | TypeScript         |      3,036 |          0 |          1 |      3,037 |
| d:\APractce\MALL\mall4v-master\public\static\js\tinymce\js\tinymce\tinymce.min.js                                                             | JavaScript         |          1 |          8 |          0 |          9 |
| d:\APractce\MALL\mall4v-master\shopAdmin\index.html                                                                                           | HTML               |         65 |          0 |          2 |         67 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\css\404-44f0d22f.css                                                                          | CSS                |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\css\@smallwei_avue@3.5.6_element-plus@2.3.6_vue@3.2-60b651f6.css                              | CSS                |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\css\element-plus@2.3.6_vue@3.2-43c408be.css                                                   | CSS                |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\css\index-0711c985.css                                                                        | CSS                |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\css\index-1de91be7.css                                                                        | CSS                |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\css\index-2b945069.css                                                                        | CSS                |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\css\index-82581038.css                                                                        | CSS                |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\css\index-91c03e95.css                                                                        | CSS                |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\css\index-985b008c.css                                                                        | CSS                |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\css\index-a00061ea.css                                                                        | CSS                |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\css\index-a46a9356.css                                                                        | CSS                |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\css\index-e1138700.css                                                                        | CSS                |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\css\index-e3574190.css                                                                        | CSS                |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\css\index-ffeea538.css                                                                        | CSS                |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\404-7ea6d39f.js                                                                            | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\@ctrl_tinycolor@3.6.1-93e5f6fc.js                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\@element-plus_icons-vue@2.1.0_vue@3.2.47-c959b2bd.js                                       | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\@floating-ui_core@1.6.8-010b5758.js                                                        | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\@floating-ui_dom@1.6.12-11ac7818.js                                                        | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\@floating-ui_utils@0.2.8-6db9c233.js                                                       | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\@smallwei_avue@3.5.6_element-plus@2.3.6_vue@3.2.47-c4df20a4.js                             | JavaScript         |         13 |          4 |          1 |         18 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\@sxzz_popperjs-es@2.11.7-eb0a044a.js                                                       | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\@vue-eb92069c.js                                                                           | JavaScript         |          2 |          0 |          1 |          3 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\@vue_devtools-api@6.6.4-4ed993c7.js                                                        | JavaScript         |          0 |          0 |          2 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\@vue_reactivity@3.2.47-b35eb3c0.js                                                         | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\@vue_runtime-core@3.2.47-7772318f.js                                                       | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\@vue_runtime-dom@3.2.47-65c92196.js                                                        | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\@vue_shared@3.2.47-804b7488.js                                                             | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\@vueuse_core@9.13.0_vue@3.2.47-f8689e2f.js                                                 | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\@vueuse_shared@9.13.0_vue@3.2.47-4c633672.js                                               | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\async-validator@4.2.5-940bb5fd.js                                                          | JavaScript         |         12 |          0 |          1 |         13 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\axios@1.3.4-4a7005d9.js                                                                    | JavaScript         |          3 |          0 |          1 |          4 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\call-bind@1.0.7-82cb89a2.js                                                                | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\crypto-js@4.1.1-0f0eb29b.js                                                                | JavaScript         |          3 |         11 |          1 |         15 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\dayjs@1.11.13-e8f4b8a8.js                                                                  | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\debounce-d39f6322.js                                                                       | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\define-data-property@1.1.4-53ade537.js                                                     | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\element-plus@2.3.6_vue@3.2.47-2ccbbec5.js                                                  | JavaScript         |         45 |          0 |          1 |         46 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\es-define-property@1.0.0-8178d4b8.js                                                       | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\es-errors@1.3.0-82fd953f.js                                                                | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\escape-html@1.0.3-d65727e0.js                                                              | JavaScript         |          2 |          5 |          1 |          8 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\function-bind@1.1.2-61637ca6.js                                                            | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\get-intrinsic@1.2.4-25c259ca.js                                                            | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\gopd@1.0.1-6433dd40.js                                                                     | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\has-property-descriptors@1.0.2-f195ed7c.js                                                 | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\has-proto@1.0.3-1353c55e.js                                                                | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\has-symbols@1.0.3-8f82dcae.js                                                              | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\hasown@2.0.2-42bc0a75.js                                                                   | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-Data-37ce314b.js                                                                      | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-Distribution-cb537230.js                                                              | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-Distribution1-424afd1f.js                                                             | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-Finance-4ead4f87.js                                                                   | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-Group-5906be48.js                                                                     | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-Live-dfad45dd.js                                                                      | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-Marketing-9078489c.js                                                                 | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-Message-b1b926eb.js                                                                   | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-Platform-68e9254a.js                                                                  | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-Points-4225e5c1.js                                                                    | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-Product-5a1e5897.js                                                                   | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-Resources-8bc6c3ba.js                                                                 | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-Settlement-657f5096.js                                                                | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-admin-10e2ece9.js                                                                     | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-bianji-b8801b54.js                                                                    | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-config-ace47862.js                                                                    | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-dangdifill-8fbaa89e.js                                                                | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-daohang-b9b19690.js                                                                   | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-decorate-9cb1f399.js                                                                  | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-duanxin-54f483bc.js                                                                   | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-editor-d425328d.js                                                                    | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-financial-4c8375f4.js                                                                 | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-form-a9240117.js                                                                      | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-geren-3193bce1.js                                                                     | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-goods-6d565e02.js                                                                     | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-inventory-d40b1a4e.js                                                                 | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-jiesuo-765eebf7.js                                                                    | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-job-110ff676.js                                                                       | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-log-3bea7c8f.js                                                                       | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-members-19689099.js                                                                   | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-menu-8f20cf05.js                                                                      | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-msg-tip-2715e8a5.js                                                                   | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-mudedi-81e46592.js                                                                    | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-notice-8b3142d4.js                                                                    | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-order-0f980143.js                                                                     | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-oss-8cbaa54b.js                                                                       | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-pinglun-132f6756.js                                                                   | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-prod-02248017.js                                                                      | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-role-edff2755.js                                                                      | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-set-58fd63fc.js                                                                       | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-shanchu-fb7cb791.js                                                                   | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-shezhi-ec45a815.js                                                                    | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-shoucang-f7fab466.js                                                                  | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-shoucangfill-fa941648.js                                                              | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-shouye-1a043af1.js                                                                    | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-sousuo-9383820c.js                                                                    | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-sql-aa7e8b2e.js                                                                       | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-store-c58bd5eb.js                                                                     | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-suoding-c7135782.js                                                                   | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-system-ebb3f573.js                                                                    | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-tixing-843ca7a2.js                                                                    | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-tubiao-be7a71d6.js                                                                    | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-vip-5a36857f.js                                                                       | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-xiangqu-5a8bc696.js                                                                   | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-xiangqufill-456d9a81.js                                                               | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-zhedie-d43e5c3f.js                                                                    | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\icon-zonghe-7a186605.js                                                                    | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-06b6492c.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-0a7e9174.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-0abfe176.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-15e8813d.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-1800b261.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-194ee972.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-1ed78fae.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-1f773b17.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-5a45667b.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-771715cc.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-869bb97f.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-8a688371.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-97bef94b.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-a08e6c58.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-a120c152.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-a8b798a1.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-ac6793f4.js                                                                          | JavaScript         |          6 |          0 |          1 |          7 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-b2d68f11.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-b451e02e.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-de8ff12d.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-ea4cc5c2.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-edf54585.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\index-f985fad2.js                                                                          | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\lodash-es@4.17.21-53d52778.js                                                              | JavaScript         |         19 |          1 |          1 |         21 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\lodash-unified@1.0.3_@types_lodash-es@4.17.12_lodash-es@4.17.21_lodash@4.17.21-d8bd5cdb.js | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\lodash@4.17.21-08c1e7a6.js                                                                 | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\memoize-one@6.0.0-43ba193c.js                                                              | JavaScript         |          1 |          0 |          1 |          2 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\moment@2.29.4-4717c495.js                                                                  | JavaScript         |          5 |          5 |          1 |         11 |
| d:\APractce\MALL\mall4v-master\shopAdmin\static\js\normalize-wheel-es@1.2.0-fb80f16a.js                                                       | JavaScript         |          2 |         12 |          1 |         15 |
